subject_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fog_label,gait_label
0,0.69793701171875,-0.978668212890625,-0.177566528320312,0.268206420749662,-0.225790786700188,-0.475891706778946,0,walking
1,0.816650390625,-0.93133544921875,-0.488311767578125,-0.0209819809642983,-0.820054943927085,-0.366598238803184,0,walking
2,0.651885986328125,-0.85845947265625,-0.479171752929688,-0.510682177995306,-1.08449805174036,-0.144598461914724,0,walking
3,0.486801147460938,-0.827972412109375,-0.33447265625,-0.915612359632437,-0.684346646363264,-0.0242779091293804,0,walking
4,0.37353515625,-0.770980834960938,-0.142791748046875,-0.740784089868114,-0.592696886925386,0.0608716067198321,0,walking
5,0.344589233398438,-0.73822021484375,0.0050506591796875,-0.579996804319016,-0.510867001374957,0.0702422053313849,0,walking
6,0.320571899414062,-0.695388793945312,0.0682830810546875,-0.325340280879568,-0.447917063740427,0.0283754487825763,0,walking
7,0.321044921875,-0.620193481445312,0.08807373046875,-0.269866635373217,-0.492677344813607,0.066110843532345,0,walking
8,0.33660888671875,-0.575119018554688,0.0934295654296875,-0.277521092978323,0.0590268350327343,-0.0112902051252819,0,walking
9,0.331771850585938,-0.48077392578125,0.0405731201171875,-0.49524809421386,0.217622072688588,0.011328022012761,0,walking
10,0.402481079101562,-0.455780029296875,-0.222900390625,-0.596939036225773,0.391318498989627,0.0149794821833687,0,walking
11,0.518707275390625,-0.53692626953125,-0.343109130859375,-0.450128020077411,0.456913754534933,-0.0610289995402558,0,walking
12,0.6041259765625,-0.634017944335938,-0.382431030273438,-0.237377934287014,0.604246483940841,-0.275617731747244,0,walking
13,0.564605712890625,-0.657958984375,-0.320098876953125,-0.138165329985529,0.429220074991417,-0.339995390042165,0,walking
14,0.555953979492188,-0.588180541992188,-0.316482543945312,-0.273367626942236,-0.169024975432931,-0.419695279352748,0,walking
15,0.592041015625,-0.64324951171875,-0.291610717773438,-0.237999782401547,-0.383622496071516,-0.406054035617144,0,walking
16,0.712966918945312,-0.790557861328125,-0.295333862304688,-0.215521104904625,-0.396617124294449,-0.430343130023103,0,walking
17,0.703384399414062,-0.860183715820312,-0.436248779296875,-0.203823968764779,-0.29596934248152,-0.457636003822562,0,walking
18,0.725296020507812,-1.03121948242188,-0.60516357421875,0.131850708724842,-0.722839177810942,-0.482922718372865,0,walking
19,0.8778076171875,-0.94073486328125,-0.688095092773438,0.263821792330956,-0.788344152195294,-0.464667548048698,0,walking
20,0.910385131835938,-0.71160888671875,-0.6348876953125,0.0853575087303477,-1.20028563803428,-0.716830553759505,0,walking
21,0.7567138671875,-0.62298583984375,-0.300537109375,-0.207885289427149,-1.11994339426877,-0.731424143900921,0,walking
22,0.678070068359375,-0.790725708007812,-0.149459838867188,-0.24371412715253,-0.761416131465176,-0.613707896345566,0,walking
23,0.67486572265625,-0.983444213867188,0.092010498046875,-0.0799699338451174,-0.034046384007791,-0.351271214097561,0,walking
24,0.682998657226562,-0.969894409179688,0.144607543945312,-0.0985350961201688,0.87347662381353,-0.175464232632634,0,walking
25,0.627090454101562,-0.983154296875,0.130462646484375,-0.26039004295028,1.10875385663269,-0.251081762308234,0,walking
26,0.528762817382812,-0.91705322265625,0.0985260009765625,-0.500880413603269,0.890314459805556,-0.0699868081828463,0,walking
