subject_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fog_label,gait_label
0,0.412689208984375,-1.50660705566406,-0.149215698242188,-1.70774565742669,0.969950965882195,1.19490179157457,0,walking
1,0.58154296875,-1.53575134277344,-0.0760040283203125,-1.83375818440987,0.643511598420752,1.04408218535342,0,walking
2,0.405624389648438,-1.52621459960938,-0.0009613037109375,-1.54546567008661,0.199232412729373,0.989914554045647,0,walking
3,0.144760131835938,-1.18643188476562,-0.0758514404296875,-1.11530310238541,-0.48301805953989,0.893800803988579,0,walking
4,0.043060302734375,-0.854110717773438,-0.0981597900390625,-0.636297627659945,-0.494478973291046,0.551048243269855,0,walking
5,-0.123214721679688,-0.648406982421875,-0.197021484375,-0.48394137748982,-0.0416462468105501,0.343015148402206,0,walking
6,-0.203964233398438,-0.454742431640625,-0.257583618164062,-0.665923430574313,0.192013914594713,0.278983967365104,0,walking
7,-0.17510986328125,-0.430374145507812,-0.135223388671875,-0.820009403872445,0.696423815590664,0.225374534621809,0,walking
8,-0.126602172851562,-0.49664306640625,-0.0947418212890625,-0.785272728510106,1.47892552498654,0.150722134525252,0,walking
9,-0.106719970703125,-0.529525756835938,-0.056640625,-0.572587091218088,2.06458420978307,0.207038404200504,0,walking
10,-0.11004638671875,-0.377792358398438,-0.167282104492188,-0.286758533535372,2.33930205939797,0.423790422160963,0,walking
11,-0.120162963867188,-0.213272094726562,-0.258956909179688,-0.16034653238869,2.24660248185838,0.458691947194779,0,walking
12,-0.134384155273438,-0.158218383789062,-0.306686401367188,0.0506804881764259,2.22973215530106,0.322288298270337,0,walking
13,-0.054473876953125,-0.477554321289062,-0.370513916015625,0.0496602311628166,2.01850060396423,0.446181481658023,0,walking
14,0.0335693359375,-0.6507568359375,-0.509918212890625,0.083418194824552,1.41988564046447,0.767900129771192,0,walking
15,0.0969696044921875,-0.803421020507812,-0.386825561523438,0.0070091736729795,0.751583740720603,0.993977472604672,0,walking
16,-0.026824951171875,-1.35670471191406,-0.41595458984375,-0.1625316560631,0.177966805108981,0.823904809598904,0,walking
17,-0.188766479492188,-2.35124206542969,-0.622634887695312,-0.511264611325706,0.0881543605071489,0.699281387440319,0,walking
18,-0.222976684570312,-2.13203430175781,-0.63165283203125,-0.0775435277759462,0.354724801399175,0.321363382423753,0,walking
19,0.045166015625,-0.920181274414062,-0.96063232421875,0.438756055906664,1.00980969896908,0.254511913792257,0,walking
20,0.0955657958984375,-0.612167358398438,-0.4229736328125,-0.289129013221652,1.51684041679378,-0.630518035462255,0,walking
21,0.259689331054688,-1.0352783203125,-0.192977905273438,-1.33462640237834,0.71196762160902,0.134700823723445,0,walking
22,0.354095458984375,-2.68000793457031,-0.598281860351562,-1.75341833748934,0.217808227648784,0.0032123049068535,0,walking
23,-0.0735015869140625,-2.65724182128906,0.293075561523438,-0.302378772277014,-0.982763167570458,0.672527803761601,0,walking
