subject_id,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,fog_label,gait_label
0,0.53692626953125,-1.04116821289062,0.125885009765625,2.65997515046718,0.603215574282872,-0.0959044255953885,0,walking
1,0.44512939453125,-0.824615478515625,-0.082244873046875,2.20381560315295,0.589053682554157,0.145074102485412,0,walking
2,0.395126342773438,-0.600738525390625,-0.106582641601562,2.17411469909585,-0.0995279225745503,0.199830026077987,0,walking
3,0.21337890625,-0.549301147460938,-0.120437622070312,2.13260001244314,-0.526601223411254,0.323097100293394,0,walking
4,0.205368041992188,-0.5596923828125,-0.0572357177734375,1.57267065957009,0.0182098965856348,0.235759797608682,0,walking
5,0.289901733398438,-0.527664184570312,-0.160369873046875,0.931485598677636,0.819647746596412,0.248750431089979,0,walking
6,0.20892333984375,-0.495147705078125,-0.261917114257812,0.771824830269641,0.653329608095438,0.217772541290178,0,walking
7,0.173492431640625,-0.550323486328125,-0.369674682617188,0.858783697763454,0.236474856361368,0.128290328663515,0,walking
8,0.221969604492188,-0.618408203125,-0.323272705078125,1.2029442717505,-0.396107128945699,0.116832877021776,0,walking
9,0.290634155273438,-0.663131713867188,-0.199172973632812,1.53838938475416,-0.559948527632899,0.126036495432981,0,walking
10,0.27996826171875,-0.68267822265625,-0.1712646484375,1.6559514352824,-0.514971198930878,0.136049182183352,0,walking
11,0.251007080078125,-0.76934814453125,-0.209747314453125,1.56367050666617,-0.664615019530758,0.0605357821063731,0,walking
12,0.273162841796875,-0.933425903320312,-0.108184814453125,1.25596221641569,-0.710527117775397,0.157791761954977,0,walking
13,0.340560913085938,-1.16755676269531,0.0572662353515625,0.870061652347721,-0.311731527709263,0.280795183222467,0,walking
14,0.453842163085938,-1.57518005371094,0.0625152587890625,0.652006815981995,0.605011343805912,0.26950897283882,0,walking
15,0.344436645507812,-1.5281982421875,-0.3489990234375,0.74920340733829,1.07543744507969,0.14337021201998,0,walking
16,0.432342529296875,-1.41798400878906,-0.643173217773438,0.35482813204947,0.447388958896264,0.175531077975995,0,walking
17,0.602981567382812,-1.37814331054688,-0.231048583984375,0.33159178522242,-0.198706172097973,0.298690826799472,0,walking
18,0.611083984375,-1.37521362304688,0.366043090820312,-0.145006191877615,-0.0999859862820439,0.295303019576782,0,walking
19,0.634628295898438,-1.200927734375,0.448287963867188,-1.07132845383381,-0.388381298623379,0.216679846294918,0,walking
20,0.618499755859375,-0.896240234375,0.533233642578125,-1.79873948028809,-0.365242157176116,0.0452841248595984,0,walking
21,0.6171875,-0.62200927734375,0.561447143554688,-1.85868404063246,0.768545413703318,-0.146686646525455,0,walking
22,0.604446411132812,-0.800628662109375,0.438568115234375,-1.32311195908928,1.00982754214839,-0.0870286423143724,0,walking
23,0.497268676757812,-1.05038452148438,0.272003173828125,-0.77341447112431,0.529398341504164,-0.0952056121253517,0,walking
24,0.555831909179688,-1.19499206542969,-0.0236053466796875,-2.5357480066788,-0.387650527220261,-0.241397709636379,0,walking
25,0.500762939453125,-1.08157348632812,-0.46380615234375,-3.55294025450569,-2.05536541135365,-0.530073985472718,0,walking
26,0.3802490234375,-0.879806518554688,-0.20587158203125,-2.81173431992091,-1.7063621452404,-0.631391285983692,0,walking
